pais,categoria_comida,consumo,emissao_co2
Argentina,suínos,10.51,37.2
Argentina,aves,38.66,41.53
Argentina,bovinos,55.48,1712.0
Argentina,caprinos,1.56,54.63
Argentina,peixes,4.36,6.96
Argentina,ovos,11.39,10.46
Argentina,laticínios,195.08,277.87
Argentina,trigo,103.11,19.66
Argentina,arroz,8.77,11.22
Argentina,soja,0.0,0.0
Argentina,nozes,0.49,0.87
Australia,suínos,24.14,85.44
Australia,aves,46.12,49.54
Australia,bovinos,33.86,1044.85
Australia,caprinos,9.87,345.65
Australia,peixes,17.69,28.25
Australia,ovos,8.51,7.82
Australia,laticínios,234.49,334.01
Australia,trigo,70.46,13.44
Australia,arroz,11.03,14.12
Australia,soja,0.19,0.09
Australia,nozes,8.73,15.45
Albania,suínos,10.88,38.51
Albania,aves,13.23,14.21
Albania,bovinos,22.5,694.3
Albania,caprinos,15.32,536.5
Albania,peixes,3.85,6.15
Albania,ovos,12.45,11.44
Albania,laticínios,303.72,432.62
Albania,trigo,138.64,26.44
Albania,arroz,7.78,9.96
Albania,soja,0.0,0.0
Albania,nozes,4.36,7.72
Iceland,suínos,21.69,76.77
Iceland,aves,26.87,28.86
Iceland,bovinos,13.36,412.26
Iceland,caprinos,21.12,739.62
Iceland,peixes,74.41,118.81
Iceland,ovos,8.24,7.57
Iceland,laticínios,225.82,321.66
Iceland,trigo,72.92,13.91
Iceland,arroz,3.89,4.98
Iceland,soja,0.11,0.05
Iceland,nozes,3.88,6.87
New Zealand,suínos,22.29,78.9
New Zealand,aves,34.98,37.58
New Zealand,bovinos,22.49,693.99
New Zealand,caprinos,18.91,662.23
New Zealand,peixes,20.36,32.51
New Zealand,ovos,9.91,9.1
New Zealand,laticínios,137.25,195.5
New Zealand,trigo,76.91,14.67
New Zealand,arroz,9.16,11.72
New Zealand,soja,0.44,0.2
New Zealand,nozes,8.22,14.55
USA,suínos,27.64,97.83
USA,aves,50.01,53.72
USA,bovinos,36.24,1118.29
USA,caprinos,0.43,15.06
USA,peixes,12.35,19.72
USA,ovos,14.58,13.39
USA,laticínios,254.69,362.78
USA,trigo,80.43,15.34
USA,arroz,6.88,8.8
USA,soja,0.04,0.02
USA,nozes,7.86,13.91
Uruguay,suínos,16.84,59.61
Uruguay,aves,27.45,29.49
Uruguay,bovinos,29.1,897.96
Uruguay,caprinos,8.23,288.21
Uruguay,peixes,6.53,10.43
Uruguay,ovos,13.14,12.07
Uruguay,laticínios,210.54,299.89
Uruguay,trigo,109.31,20.85
Uruguay,arroz,11.5,14.72
Uruguay,soja,0.01,0.0
Uruguay,nozes,0.95,1.68
Luxembourg,suínos,43.58,154.25
Luxembourg,aves,21.37,22.96
Luxembourg,bovinos,29.88,922.03
Luxembourg,caprinos,1.67,58.48
Luxembourg,peixes,23.09,36.87
Luxembourg,ovos,14.64,13.45
Luxembourg,laticínios,255.3,363.65
Luxembourg,trigo,103.2,19.68
Luxembourg,arroz,4.2,5.37
Luxembourg,soja,0.04,0.02
Luxembourg,nozes,0.93,1.65
Brazil,suínos,12.6,44.6
Brazil,aves,45.0,48.34
Brazil,bovinos,39.25,1211.17
Brazil,caprinos,0.62,21.71
